Constituency,District,Culture,Seat_Polled,SPA_Votes,AIADMK_Votes,TVK_Votes,Others_Votes,SPA_Pct,AIADMK_Pct,TVK_Pct,Others_Pct,Winner,Winning_Votes,Margin_Votes,Margin_Pct
Madurai East,Madurai,Southern,281425,98580,76139,70199,36507,35.03,27.05,24.94,12.97,SPA,98580,22441,7.97
Thirumangalam,Madurai,Southern,218437,58818,65874,50042,43703,26.93,30.16,22.91,20.01,AIADMK+,65874,7056,3.23
Andipatti,Theni,Mixed,219804,62770,68989,35840,52205,28.56,31.39,16.31,23.75,AIADMK+,68989,6219,2.83
Madurai North,Madurai,Southern,184956,53923,54836,36034,40163,29.15,29.65,19.48,21.71,AIADMK+,54836,913,0.49
Cumbum,Theni,Mixed,219245,75111,66023,47123,30988,34.26,30.11,21.49,14.13,SPA,75111,9088,4.15
Madurai Central,Madurai,Southern,166885,50936,43878,43999,28072,30.52,26.29,26.36,16.82,SPA,50936,6937,4.16
Rajapalayam,Virudhunagar,Mixed,177896,61546,53138,45439,17773,34.6,29.87,25.54,9.99,SPA,61546,8408,4.73
Sattur,Virudhunagar,Mixed,190478,52663,59486,50076,28253,27.65,31.23,26.29,14.83,AIADMK+,59486,6823,3.58
Sivakasi,Virudhunagar,Mixed,189561,54160,50412,54632,30357,28.57,26.59,28.82,16.01,TVK,54632,472,0.25
Usilampatti,Madurai,Southern,222573,57624,72849,55506,36594,25.89,32.73,24.94,16.44,AIADMK+,72849,15225,6.84
Aruppukkottai,Virudhunagar,Mixed,172534,51679,51391,31592,37872,29.95,29.79,18.31,21.95,SPA,51679,288,0.17
Tiruchuli,Virudhunagar,Mixed,170525,58905,51741,40704,19175,34.54,30.34,23.87,11.24,SPA,58905,7164,4.2
Bodinayakanur,Theni,Mixed,225605,72871,73774,42678,36282,32.3,32.7,18.92,16.08,AIADMK+,73774,903,0.4
Paramakudi,Ramanathapuram,Mixed,188713,53128,44551,36614,54420,28.15,23.61,19.4,28.84,Others,54420,1292,0.68
Ramanathapuram,Ramanathapuram,Mixed,251234,70659,54613,52282,73680,28.12,21.74,20.81,29.33,Others,73680,3021,1.2
